Timestamp,Name (redacted),Time to complete task A,Please select three words that describe your user experience A,Time to complete task B,Please select three words that describe your user experience B
"PARTICIPANTS ASKED TO DO OUR SYSTEM TASK FIRST, THEN COMPETITOR",,,,,
2020/04/29 11:45:00 AM AST,,0:23,Compatible;Approachable;Satisfying,0:33,Attractive;Approachable;Compatible
2020/05/01 11:20:26 AM AST,,65 seconds,Approachable;Convenient;Attractive,80 seconds,Attractive;Convenient;Satisfying
2020/05/02 10:12:59 PM AST,,2:20,Compatible;Hard to Use;Confusing,1:25,Intuitive;Convenient;Approachable
2020/05/04 8:53:43 AM AST,,02:08.1,Approachable;Hard to Use;Satisfying;Attractive,01:01.1,Attractive;Intuitive;Compatible
2020/05/06 5:09:40 PM AST,,1m 52s,Intuitive;Approachable;Attractive,1m 14s,Intuitive;Convenient
"PARTICIPANTS ASKED TO DO COMPETITOR TASK FIRST, THEN OUR SYSTEM",,,,,
2020/05/03 1:11:20 PM AST,,15 seconds,Attractive;Hard to Use;Convenient,10,Convenient;Attractive;Compatible
2020/05/07 2:50:05 PM AST,,33.82,Attractive;Intuitive;Empowering,36.52,Intuitive;Convenient;Attractive
2020/05/07 3:59:01 PM AST,,28.42,Intuitive;Convenient;Satisfying,01:46.1,Hard to Use;Attractive;Confusing
2020/05/09 12:07:50 AM AST,,1 min 15 secs,Attractive;Hard to Use;Confusing,1 min 37 secs,Hard to Use;Approachable;Attractive